EEID,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Annual_Salary,Bonus,Country,City
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,"$146,140 ",10%,Brazil,Manaus
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,"$172,787 ",28%,Brazil,Rio de Janerio
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,"$98,581 ",0%,Brazil,Rio de Janerio
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,"$55,499 ",0%,Brazil,Manaus
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,"$82,872 ",0%,Brazil,Manaus
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,"$159,044 ",10%,Brazil,Manaus
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,"$74,691 ",0%,Brazil,Manaus
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,"$109,812 ",9%,Brazil,Manaus
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,"$206,624 ",40%,Brazil,Sao Paulo
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,"$53,215 ",0%,Brazil,Sao Paulo
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,"$189,702 ",28%,Brazil,Manaus
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,"$69,803 ",0%,Brazil,Manaus
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,"$76,588 ",0%,Brazil,Rio de Janerio
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,"$59,817 ",0%,Brazil,Sao Paulo
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,"$88,072 ",0%,Brazil,Sao Paulo
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,"$71,699 ",0%,Brazil,Manaus
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,"$96,997 ",0%,Brazil,Sao Paulo
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,"$240,488 ",40%,Brazil,Rio de Janerio
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,"$249,506 ",30%,Brazil,Rio de Janerio
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,"$75,819 ",0%,Brazil,Sao Paulo
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,"$90,855 ",0%,Brazil,Sao Paulo
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,"$92,897 ",0%,Brazil,Sao Paulo
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,"$93,840 ",0%,Brazil,Manaus
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,"$66,819 ",0%,Brazil,Rio de Janerio
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,"$50,784 ",0%,Brazil,Rio de Janerio
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,"$125,828 ",15%,Brazil,Sao Paulo
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,"$56,154 ",0%,Brazil,Sao Paulo
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,"$65,047 ",0%,Brazil,Sao Paulo
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,"$113,987 ",0%,Brazil,Manaus
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,Latino,46,"$86,061 ",0%,Brazil,Rio de Janerio
E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,"$258,426 ",40%,Brazil,Rio de Janerio
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,"$124,129 ",15%,Brazil,Sao Paulo
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,"$189,290 ",22%,Brazil,Sao Paulo
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,Female,Latino,37,"$157,474 ",11%,Brazil,Rio de Janerio
E00842,John Vega,Vice President,Finance,Corporate,Male,Latino,50,"$247,939 ",35%,Brazil,Rio de Janerio
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,"$169,509 ",18%,Brazil,Manaus
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,"$113,873 ",11%,Brazil,Rio de Janerio
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,Latino,48,"$87,158 ",0%,Brazil,Manaus
E04103,Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,"$255,369 ",33%,Brazil,Sao Paulo
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,Latino,32,"$61,886 ",9%,Brazil,Rio de Janerio
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,Latino,38,"$78,056 ",0%,Brazil,Sao Paulo
E02062,Nora Santiago,Analyst,Accounting,Research & Development,Female,Latino,55,"$48,687 ",0%,Brazil,Rio de Janerio
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,"$121,065 ",15%,Brazil,Rio de Janerio
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,Male,Latino,52,"$88,272 ",0%,Brazil,Sao Paulo
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,"$72,235 ",0%,Brazil,Manaus
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,Male,Latino,31,"$145,846 ",15%,Brazil,Manaus
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,Male,Latino,46,"$102,167 ",6%,Brazil,Rio de Janerio
E02147,Allison Medina,Manager,Finance,Speciality Products,Female,Latino,55,"$111,038 ",5%,Brazil,Sao Paulo
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,Latino,58,"$98,769 ",0%,Brazil,Rio de Janerio
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,"$65,334 ",0%,Brazil,Rio de Janerio
E01924,Anna Gutierrez,Director,Engineering,Research & Development,Female,Latino,59,"$150,699 ",29%,Brazil,Sao Paulo
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,Latino,56,"$59,591 ",0%,Brazil,Sao Paulo
E02693,Grace Campos,Director,Engineering,Research & Development,Female,Latino,37,"$156,277 ",22%,Brazil,Manaus
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,Female,Latino,30,"$87,744 ",0%,Brazil,Sao Paulo
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,"$75,869 ",0%,Brazil,Sao Paulo
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,Female,Latino,36,"$85,870 ",0%,Brazil,Sao Paulo
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,Latino,38,"$119,647 ",9%,Brazil,Sao Paulo
