EEID,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Annual_Salary,Bonus,Country,City
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,"$99,975 ",0%,China,Chongqing
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,"$50,994 ",0%,China,Chongqing
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,"$146,742 ",10%,China,Shanghai
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,"$166,331 ",18%,China,Chongqing
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,"$207,172 ",31%,China,Chongqing
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,"$99,354 ",12%,China,Beijing
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,"$231,141 ",34%,China,Beijing
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,"$59,100 ",0%,China,Chongqing
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,"$99,989 ",0%,China,Chengdu
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,"$86,317 ",0%,China,Chengdu
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,"$56,037 ",0%,China,Shanghai
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,"$125,633 ",11%,China,Beijing
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,"$135,062 ",15%,China,Chengdu
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,"$86,858 ",0%,China,Chongqing
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,"$93,971 ",8%,China,Chongqing
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,"$48,345 ",0%,China,Chengdu
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,"$152,214 ",30%,China,Beijing
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,"$114,441 ",10%,China,Chongqing
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,"$140,402 ",15%,China,Beijing
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,"$247,022 ",30%,China,Beijing
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,"$67,925 ",8%,China,Shanghai
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,"$199,041 ",16%,China,Beijing
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,"$95,372 ",0%,China,Shanghai
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,"$161,203 ",15%,China,Chengdu
E02872,Liam Jung,Manager,Finance,Corporate,Male,Asian,39,"$103,504 ",7%,China,Chengdu
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,"$55,859 ",0%,China,Beijing
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,"$99,017 ",0%,China,Beijing
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,"$71,864 ",0%,China,Chengdu
E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,"$225,558 ",33%,China,Shanghai
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,"$48,340 ",0%,China,Beijing
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,"$211,291 ",37%,China,Chongqing
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,"$80,950 ",0%,China,Chongqing
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,"$86,538 ",0%,China,Chengdu
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,"$196,951 ",33%,China,Beijing
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,"$67,686 ",0%,China,Beijing
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,"$125,936 ",8%,China,Chongqing
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,"$83,639 ",0%,China,Beijing
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,"$74,552 ",0%,China,Chengdu
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,"$69,453 ",0%,China,Chengdu
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,"$242,919 ",31%,China,Chongqing
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,"$94,790 ",0%,China,Chongqing
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,"$249,686 ",31%,China,Chongqing
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,"$70,996 ",0%,China,Chengdu
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,"$97,537 ",0%,China,Chengdu
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,"$96,567 ",0%,China,Shanghai
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,"$49,404 ",0%,China,Beijing
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,"$73,004 ",0%,China,Beijing
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,"$95,061 ",10%,China,Shanghai
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,"$127,543 ",6%,China,Shanghai
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,"$218,530 ",30%,China,Shanghai
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,"$120,660 ",7%,China,Chengdu
E01986,Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,"$122,802 ",5%,China,Shanghai
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,"$82,017 ",0%,China,Beijing
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,"$96,719 ",0%,China,Chengdu
E03252,James Bui,Manager,Finance,Manufacturing,Male,Asian,64,"$122,753 ",9%,China,Chongqing
E03547,Owen Han,Analyst,Accounting,Corporate,Male,Asian,28,"$52,069 ",0%,China,Chongqing
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,"$51,630 ",0%,China,Beijing
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,Asian,49,"$129,124 ",12%,China,Shanghai
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,"$59,888 ",0%,China,Beijing
E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,"$234,469 ",31%,China,Chengdu
E04136,Mason Cao,Analyst II,Finance,Corporate,Male,Asian,52,"$74,449 ",0%,China,Beijing
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,"$222,941 ",39%,China,Beijing
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,"$50,341 ",0%,China,Beijing
E02252,Lillian Park,Analyst,Marketing,Research & Development,Female,Asian,40,"$46,833 ",0%,China,Chengdu
E03096,Kennedy Zhang,Director,Finance,Research & Development,Female,Asian,63,"$155,320 ",17%,China,Chongqing
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,Asian,40,"$89,984 ",0%,China,Chengdu
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,Asian,65,"$83,756 ",14%,China,Shanghai
E02980,Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,"$176,324 ",23%,China,Shanghai
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,"$82,162 ",0%,China,Beijing
